record_no,snapshot_index,target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error,tolerance,quantization_units,passed
20,1,4d240c,heading,248.81,true,24881,248.81,true,0.0,0.01,0.0,true
20,1,4d240c,vertical_rate,10.08,true,33776,10.079999999999984,true,1.5987211554602254e-14,0.01,1.5987211554602254e-12,true
20,1,4d240c,callsign,EWG53L,true,EWG53L,EWG53L,true,,exact,,true
21,1,ad35c8,lat,45.9506,true,3167878,45.95060728802855,true,7.288028548657621e-06,4.2915354470099084e-05,0.16982333336511282,true
21,1,ad35c8,lon,11.2781,true,2228551,11.278112239387553,true,1.2239387553236725e-05,8.583070894019817e-05,0.1425991664797318,true
21,1,ad35c8,altitude,13716.0,true,14716,13716,true,0.0,1.0,0.0,true
21,1,ad35c8,speed,255.47,true,2555,255.5,true,0.030000000000001137,0.1,0.30000000000001137,true
21,1,ad35c8,heading,118.11,true,11811,118.11,true,0.0,0.01,0.0,true
21,1,ad35c8,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
21,1,ad35c8,callsign,N950MP,true,N950MP,N950MP,true,,exact,,true
22,1,3889ff,lat,45.7174,true,3162444,45.71740525183802,true,5.2518380186938884e-06,4.2915354470099084e-05,0.12237666642956574,true
22,1,3889ff,lon,5.0917,true,2156474,5.091692231104901,true,7.768895099680151e-06,8.583070894019817e-05,0.09051416673131599,true
22,1,3889ff,altitude,,false,0,,false,,,,true
22,1,3889ff,speed,5.66,true,57,5.7,true,0.040000000000000036,0.1,0.40000000000000036,true
22,1,3889ff,heading,171.56,true,17156,171.56,true,0.0,0.01,0.0,true
22,1,3889ff,vertical_rate,,false,0,,false,,,,true
22,1,3889ff,callsign,LA2,true,LA2,LA2,true,,exact,,true
23,1,4b17fd,lat,47.4443,true,3202684,47.44431911571482,true,1.9115714820827634e-05,4.2915354470099084e-05,0.44542833344523225,true
23,1,4b17fd,lon,8.5674,true,2196969,8.567406789638227,true,6.789638227644446e-06,8.583070894019817e-05,0.07910499996423273,true
23,1,4b17fd,altitude,,false,0,,false,,,,true
23,1,4b17fd,speed,0.26,true,3,0.30000000000000004,true,0.040000000000000036,0.1,0.40000000000000036,true
23,1,4b17fd,heading,244.69,true,24469,244.69,true,0.0,0.01,0.0,true
23,1,4b17fd,vertical_rate,,false,0,,false,,,,true
23,1,4b17fd,callsign,SWR7DC,true,SWR7DC,SWR7DC,true,,exact,,true
24,2,a48850,lat,48.3811,true,3224513,48.381118388442616,true,1.8388442612149447e-05,4.2915354470099084e-05,0.42848166674147925,true
24,2,a48850,lon,9.4818,true,2207622,9.481761331978134,true,3.8668021865362334e-05,8.583070894019817e-05,0.4505150003165412,true
24,2,a48850,altitude,11887.2,true,12887,11887,true,0.2000000000007276,1.0,0.2000000000007276,true
24,2,a48850,speed,241.82,true,2418,241.8,true,0.01999999999998181,0.1,0.1999999999998181,true
24,2,a48850,heading,152.78,true,15278,152.78,true,0.0,0.01,0.0,true
24,2,a48850,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
24,2,a48850,callsign,UPS266,true,UPS266,UPS266,true,,exact,,true
25,2,896175,lat,45.5396,true,3158301,45.539606938268406,true,6.938268406031511e-06,4.2915354470099084e-05,0.1616733332790177,true
25,2,896175,lon,5.0616,true,2156123,5.061565652266893,true,3.434773310750927e-05,8.583070894019817e-05,0.40018000004451515,true
25,2,896175,altitude,10972.8,true,11973,10973,true,0.2000000000007276,1.0,0.2000000000007276,true
25,2,896175,speed,255.67,true,2557,255.70000000000002,true,0.03000000000002956,0.1,0.3000000000002956,true
25,2,896175,heading,110.0,true,11000,110.0,true,0.0,0.01,0.0,true
25,2,896175,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
25,2,896175,callsign,UAE4M,true,UAE4M,UAE4M,true,,exact,,true
26,2,3849ff,lat,47.5871,true,3206011,47.58709850003683,true,1.4999631687828696e-06,4.2915354470099084e-05,0.03495166677064165,true
26,2,3849ff,lon,7.5312,true,2184896,7.5311726406032165,true,2.7359396783666057e-05,8.583070894019817e-05,0.3187600000220025,true
26,2,3849ff,altitude,,false,0,,false,,,,true
26,2,3849ff,speed,18.52,true,185,18.5,true,0.019999999999999574,0.1,0.19999999999999574,true
26,2,3849ff,heading,334.69,true,33469,334.69,true,0.0,0.01,0.0,true
26,2,3849ff,vertical_rate,,false,0,,false,,,,true
26,2,3849ff,callsign,M02,true,M02,M02,true,,exact,,true
27,2,407fac,lat,48.9207,true,3237086,48.92069314019517,true,6.859804827286098e-06,4.2915354470099084e-05,0.15984499981389202,true
27,2,407fac,lon,9.0286,true,2202342,9.028575188773914,true,2.481122608699593e-05,8.583070894019817e-05,0.28907166669545914,true
27,2,407fac,altitude,11582.4,true,12582,11582,true,0.3999999999996362,1.0,0.3999999999996362,true
27,2,407fac,speed,228.42,true,2284,228.4,true,0.01999999999998181,0.1,0.1999999999998181,true
27,2,407fac,heading,300.9,true,30090,300.90000000000003,true,5.684341886080802e-14,0.01,5.6843418860808015e-12,true
27,2,407fac,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
27,2,407fac,callsign,TOM8VC,true,TOM8VC,TOM8VC,true,,exact,,true
28,2,3c815e,lat,48.6854,true,3231603,48.6853882516356,true,1.1748364400432365e-05,4.2915354470099084e-05,0.2737566669434815,true
28,2,3c815e,lon,9.2005,true,2204345,9.200494098781121,true,5.901218878889836e-06,8.583070894019817e-05,0.06875416679828965,true
28,2,3c815e,altitude,,false,0,,false,,,,true
28,2,3c815e,speed,1.29,true,13,1.3,true,0.010000000000000009,0.1,0.10000000000000009,true
28,2,3c815e,heading,70.31,true,7031,70.31,true,0.0,0.01,0.0,true
28,2,3c815e,vertical_rate,,false,0,,false,,,,true
28,2,3c815e,callsign,F172,true,F172,F172,true,,exact,,true
29,2,7c8066,lat,49.3929,true,3248089,49.39289078542964,true,9.214570354743046e-06,4.2915354470099084e-05,0.21471500045894346,true
29,2,7c8066,lon,11.6172,true,2232502,11.617229370410314,true,2.9370410313589446e-05,8.583070894019817e-05,0.3421900002486643,true
29,2,7c8066,altitude,12184.38,true,13184,12184,true,0.37999999999919964,1.0,0.37999999999919964,true
29,2,7c8066,speed,244.2,true,2442,244.20000000000002,true,2.842170943040401e-14,0.1,2.8421709430404007e-13,true
29,2,7c8066,heading,293.59,true,29359,293.59000000000003,true,5.684341886080802e-14,0.01,5.6843418860808015e-12,true
29,2,7c8066,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
29,2,7c8066,callsign,QFA219,true,QFA219,QFA219,true,,exact,,true
30,2,45ce47,lat,48.5472,true,3228383,48.54720081024189,true,8.102418931343891e-07,4.2915354470099084e-05,0.018880000017218044,true
30,2,45ce47,lon,6.2991,true,2170541,6.299072813766685,true,2.718623331521286e-05,8.583070894019817e-05,0.3167424998686035,true
30,2,45ce47,altitude,11887.2,true,12887,11887,true,0.2000000000007276,1.0,0.2000000000007276,true
30,2,45ce47,speed,233.64,true,2336,233.60000000000002,true,0.03999999999996362,0.1,0.3999999999996362,true
30,2,45ce47,heading,181.51,true,18151,181.51,true,0.0,0.01,0.0,true
30,2,45ce47,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
30,2,45ce47,callsign,SRR6382,true,SRR6382,SRR6382,true,,exact,,true
31,2,3c5434,lat,45.7476,true,3163148,45.747617661384965,true,1.7661384966061178e-05,4.2915354470099084e-05,0.41153999970725164,true
31,2,3c5434,lon,8.7767,true,2199407,8.776662058034418,true,3.79419655818225e-05,8.583070894019817e-05,0.4420558335159302,true
31,2,3c5434,altitude,3398.52,true,4399,3399,true,0.4800000000000182,1.0,0.4800000000000182,true
31,2,3c5434,speed,176.54,true,1765,176.5,true,0.03999999999999204,0.1,0.3999999999999204,true
31,2,3c5434,heading,148.95,true,14895,148.95000000000002,true,2.842170943040401e-14,0.01,2.8421709430404007e-12,true
